,ele,times,hr,cad,lat,lon
0,24.799999237060547,0.0,97.0,0.0,49.25361695699394,-123.1652725674212
1,24.799999237060547,1.0,97.0,0.0,49.2535965051502,-123.16527809947729
2,24.799999237060547,2.0,97.0,0.0,49.253572197631,-123.16528371535242
3,25.0,3.0,97.0,0.0,49.25354948267341,-123.16529125906527
4,25.0,4.0,97.0,0.0,49.253530288115144,-123.16529092378914
5,25.200000762939453,5.0,97.0,0.0,49.25350924953818,-123.16529167816043
6,25.399999618530273,6.0,97.0,0.0,49.25348795950413,-123.16529838368297
7,25.600000381469727,7.0,97.0,0.0,49.2534667532891,-123.16530425101519
8,25.600000381469727,8.0,97.0,85.0,49.25344546325505,-123.16530676558614
9,25.799999237060547,9.0,98.0,85.0,49.25342610105872,-123.16530793905258
10,26.0,10.0,101.0,85.0,49.253402883186936,-123.16530928015709
11,26.200000762939453,11.0,106.0,85.0,49.253381257876754,-123.16531104035676
12,26.399999618530273,12.0,109.0,85.0,49.25335745327175,-123.16531397402287
13,26.399999618530273,13.0,109.0,84.0,49.25333498977125,-123.16531598567963
14,26.600000381469727,14.0,109.0,84.0,49.25331252627075,-123.16531363874674
15,26.799999237060547,15.0,109.0,84.0,49.253288470208645,-123.1653124652803
16,27.0,16.0,109.0,84.0,49.25326776690781,-123.16531305201352
17,27.0,17.0,109.0,85.0,49.25324186682701,-123.16531514748931
18,27.0,18.0,109.0,85.0,49.25321345217526,-123.16531950607896
19,27.0,19.0,108.0,85.0,49.25319107249379,-123.16532202064991
20,27.0,20.0,110.0,85.0,49.25316860899329,-123.16532311029732
21,27.0,21.0,111.0,85.0,49.25314639694989,-123.16532579250634
22,27.0,22.0,111.0,84.0,49.25312468782067,-123.1653312407434
23,27.0,23.0,112.0,83.0,49.253102811053395,-123.16533392295241
24,27.200000762939453,24.0,111.0,83.0,49.253081856295466,-123.16533803008497
25,27.200000762939453,25.0,111.0,82.0,49.253059728071094,-123.16534113138914
26,27.200000762939453,26.0,111.0,82.0,49.253038354218006,-123.16533182747662
27,27.399999618530273,27.0,111.0,82.0,49.25301304087043,-123.16532269120216
28,27.399999618530273,28.0,111.0,82.0,49.25299108028412,-123.1653209310025
29,27.399999618530273,29.0,110.0,83.0,49.25296828150749,-123.16531640477479
30,27.399999618530273,30.0,110.0,83.0,49.25294288434088,-123.16530592739582
31,27.399999618530273,31.0,110.0,83.0,49.25291631370783,-123.16530265845358
32,27.200000762939453,32.0,111.0,84.0,49.252892257645726,-123.16530106589198
33,27.200000762939453,33.0,111.0,84.0,49.252868788316846,-123.16529930569232
34,27.0,34.0,112.0,83.0,49.25284682773054,-123.16529603675008
35,27.0,35.0,112.0,83.0,49.25282352603972,-123.16529519855976
36,27.0,36.0,112.0,83.0,49.252800894901156,-123.16529704257846
37,26.799999237060547,37.0,113.0,84.0,49.25278102979064,-123.16529813222587
38,26.799999237060547,38.0,114.0,84.0,49.25275906920433,-123.16529595293105
39,26.600000381469727,39.0,115.0,83.0,49.25273501314223,-123.1652968749404
40,26.600000381469727,40.0,116.0,82.0,49.252716237679124,-123.16529804840684
41,26.600000381469727,41.0,117.0,81.0,49.25269637256861,-123.16530123353004
42,26.600000381469727,42.0,118.0,81.0,49.252674747258425,-123.16530140116811
43,26.600000381469727,43.0,118.0,81.0,49.25265312194824,-123.16530542448163
44,26.600000381469727,44.0,118.0,81.0,49.2526292335242,-123.16530492156744
45,26.600000381469727,45.0,118.0,81.0,49.25260802730918,-123.16530735231936
46,26.600000381469727,46.0,119.0,81.0,49.25258564762771,-123.16530760377645
47,26.399999618530273,47.0,119.0,82.0,49.25256611779332,-123.16530500538647
48,26.399999618530273,48.0,119.0,83.0,49.25254709087312,-123.16530659794807
49,26.399999618530273,49.0,120.0,84.0,49.2525258846581,-123.16530475392938
50,26.200000762939453,50.0,121.0,84.0,49.252505684271455,-123.16530433483422
51,26.200000762939453,51.0,122.0,85.0,49.25248238258064,-123.16530366428196
52,26.0,52.0,123.0,85.0,49.25245706923306,-123.1653053406626
53,26.0,53.0,123.0,85.0,49.25243158824742,-123.16530860960484
54,26.0,54.0,124.0,84.0,49.25240526907146,-123.16530810669065
55,26.0,55.0,125.0,84.0,49.25238121300936,-123.16530793905258
56,26.0,56.0,124.0,85.0,49.25235732458532,-123.16530785523355
57,26.0,57.0,123.0,85.0,49.25233452580869,-123.16530953161418
58,26.0,58.0,123.0,84.0,49.25230896100402,-123.1653087772429
59,26.0,59.0,124.0,84.0,49.2522840667516,-123.16531389020383
60,26.200000762939453,60.0,124.0,83.0,49.252260848879814,-123.16531665623188
61,26.200000762939453,61.0,124.0,83.0,49.25223578698933,-123.16531875170767
62,26.399999618530273,62.0,124.0,82.0,49.252211982384324,-123.16531958989799
63,26.399999618530273,63.0,125.0,82.0,49.252188596874475,-123.16531623713672
64,26.399999618530273,64.0,125.0,83.0,49.2521632835269,-123.16531674005091
65,26.600000381469727,65.0,125.0,83.0,49.25213838927448,-123.16531447693706
66,26.600000381469727,66.0,125.0,84.0,49.252112321555614,-123.16531397402287
67,26.799999237060547,67.0,125.0,84.0,49.252089355140924,-123.1653122138232
68,26.799999237060547,68.0,125.0,84.0,49.2520663049072,-123.16530869342387
69,27.0,69.0,126.0,86.0,49.252043003216386,-123.16531028598547
70,27.0,70.0,126.0,86.0,49.252021461725235,-123.16531028598547
71,27.0,71.0,126.0,84.0,49.25199924968183,-123.16530777141452
72,27.0,72.0,127.0,84.0,49.25197678618133,-123.16530198790133
73,27.0,73.0,128.0,84.0,49.25195616669953,-123.16529704257846
74,27.0,74.0,129.0,84.0,49.25193630158901,-123.1652915943414
75,27.0,75.0,129.0,84.0,49.251914005726576,-123.16528840921819
76,27.0,76.0,129.0,84.0,49.25188978202641,-123.1652863137424
77,27.0,77.0,130.0,84.0,49.25186715088785,-123.16528690047562
78,27.0,78.0,130.0,84.0,49.251843597739935,-123.16528539173305
79,27.0,79.0,131.0,84.0,49.251820212230086,-123.16528664901853
80,27.0,80.0,132.0,83.0,49.25179925747216,-123.16528824158013
81,27.0,81.0,132.0,83.0,49.25177930854261,-123.16529385745525
82,27.0,82.0,132.0,83.0,49.25176036544144,-123.16529595293105
83,27.0,83.0,133.0,83.0,49.25174410454929,-123.1653016526252
84,27.0,84.0,133.0,81.0,49.25172549672425,-123.16530751995742
85,27.0,85.0,132.0,81.0,49.25170512869954,-123.16531162708998
86,27.0,86.0,132.0,81.0,49.25168517976999,-123.16531665623188
87,27.0,87.0,133.0,81.0,49.251664811745286,-123.16532478667796
88,27.0,88.0,133.0,81.0,49.251640755683184,-123.1653257086873
89,27.0,89.0,134.0,81.0,49.25161820836365,-123.16532319411635
90,27.0,90.0,134.0,81.0,49.25159909762442,-123.16532637923956
91,27.0,91.0,134.0,82.0,49.25158015452325,-123.16532889381051
92,27.0,92.0,133.0,82.0,49.251558780670166,-123.16533425822854
93,27.0,93.0,133.0,83.0,49.25153832882643,-123.16533660516143
94,27.0,94.0,133.0,83.0,49.251520140096545,-123.16533861681819
95,27.0,95.0,133.0,83.0,49.25150245428085,-123.16534381359816
96,27.0,96.0,133.0,83.0,49.251484433189034,-123.165348675102
97,27.0,97.0,133.0,83.0,49.25146113149822,-123.16535110585392
98,27.0,98.0,133.0,84.0,49.251438500359654,-123.1653550453484
99,27.0,99.0,133.0,83.0,49.251416120678186,-123.16535839810967
100,27.0,100.0,133.0,83.0,49.25139516592026,-123.16536468453705
101,26.799999237060547,101.0,133.0,83.0,49.25137437880039,-123.1653740722686
102,26.799999237060547,102.0,134.0,83.0,49.251354429870844,-123.16538413055241
103,26.799999237060547,103.0,133.0,83.0,49.25133163109422,-123.1653970386833
104,26.799999237060547,104.0,133.0,83.0,49.25131184980273,-123.16539745777845
105,26.799999237060547,105.0,133.0,83.0,49.25129215233028,-123.16540106199682
106,27.0,106.0,133.0,83.0,49.251272454857826,-123.16540759988129
107,27.0,107.0,132.0,83.0,49.251252422109246,-123.16541489213705
108,27.200000762939453,108.0,130.0,83.0,49.25123046152294,-123.16542067565024
109,27.200000762939453,109.0,129.0,83.0,49.25120917148888,-123.16542168147862
110,27.399999618530273,110.0,129.0,83.0,49.25118863582611,-123.1654247827828
111,27.399999618530273,111.0,128.0,83.0,49.25116650760174,-123.165422687307
112,27.399999618530273,112.0,128.0,84.0,49.25114412792027,-123.16542235203087
113,27.600000381469727,113.0,127.0,84.0,49.25112166441977,-123.1654229387641
114,27.600000381469727,114.0,128.0,84.0,49.25109878182411,-123.16542528569698
115,27.799999237060547,115.0,128.0,84.0,49.25107732415199,-123.16542671062052
